Cafe,Rating,City
Cafe Mezzanine,4,41977.6119402985
Amor Bakery,4.5,41977.6119402985
Advocafe,4,41977.6119402985
Toast Manila,4,15444.0154440154
Floti Cafe,4.5,41977.6119402985
Cafe De Seoul,4,41977.6119402985
Cafe-UK,5,41977.6119402985
Cafetaly,5,41977.6119402985
Q Tea,4,41977.6119402985
Hollys Coffee,4.5,41977.6119402985
Landers Superstore,5,41977.6119402985
Starbucks Coffee,5,41977.6119402985
Crepes and Cream,3.5,41977.6119402985
Caffeina Coffee,4,41977.6119402985
Infinitea,5,41977.6119402985
The Lobby Lounge,4.5,41977.6119402985
Sweet Avenue Cafe,5,41977.6119402985
Angel N Kiss Bakery,4,41977.6119402985
Café-UK P. Noval,5,41977.6119402985
Museum Cafe,4,21198.8304093567
The Coffee Bean & Tea Leaf,4,41977.6119402985
Cafe Noriter,2.5,41977.6119402985
Mary Grace,3,41977.6119402985
Bing’s Fong,4.5,41977.6119402985
UCC Café Terrace,4,41977.6119402985
The Barcelo Café,3.5,41977.6119402985
The Coffee Bean & Tea Leaf,4,41977.6119402985
Sidewalk Café,4,41977.6119402985
Sn@p Internet Cafe,4,22938.2850901147
Mineski Infinity,4.5,41977.6119402985
Amo Yamie Crib Coffee,3.5,41977.6119402985
Lucky Bean Coffee Bar,4.5,41977.6119402985
Mr. Brown Tea and Coffee,3,41977.6119402985
Wildflour Café + Bakery,4.5,21198.8304093567
Barbara’s Cafe,4,41977.6119402985
Habitual Coffee,4.5,21198.8304093567
Costa Coffee,4.5,41977.6119402985
The Coffee Bean & Tea Leaf,3,41977.6119402985
Speed Byte’s,4,41977.6119402985
Andrew Café,4,41977.6119402985
Potts Point Cafe,4,41977.6119402985
Catabolic Café,4,17543.8596491228
The Café,3.5,14170.89678511
Coco Bango Cafe,3,41977.6119402985
Cafe Chosun,4.5,41977.6119402985
Mozaic Living,4,35262.2061482821
Cafe 7 Gram,4,15444.0154440154
Lord Stow’s Bakery,5,41977.6119402985
Isla Cafe,2.5,41977.6119402985
Occubite Muffins & Coffee,3,41977.6119402985
Caerus Coffee,4,17543.8596491228
Starbucks,4.5,21198.8304093567
Gong Cha,5,41977.6119402985
Hobing Korean Dessert Cafe,4,41977.6119402985
Pink Pantry,3,41977.6119402985
Conti’s Bakeshop and Cafe,4,41977.6119402985
Commune,4.5,21198.8304093567
Mary Grace Cafe,4,41977.6119402985
Yardstick Coffee,4,21198.8304093567
EAT Cafe,5,41977.6119402985
Local Edition,4.5,21198.8304093567
Xurreria,4,24157.6605212969
Chaplin,4.5,21198.8304093567
Cioccolata Churros Cafe,4,41977.6119402985
The Bunny Baker Cafe & Cake Studio,4,17543.8596491228
Netopia,3,41977.6119402985
Duke’s Coffee Place,1,41977.6119402985
Market Cafe,3.5,41977.6119402985
Tweedle Book Café,4.5,17543.8596491228
Backyard Coffee,4,15444.0154440154
Coffee 8065,3.5,21198.8304093567
Art’s Cream Gallery,3,22938.2850901147
Mineski Infinity,5,41977.6119402985
Coral Cafe,4,21198.8304093567
Movie Stars Café,3.5,22938.2850901147
The Kismet Café & Wellness Market,4.5,21198.8304093567
Starbucks,3,17543.8596491228
Café Travel,3.5,41977.6119402985
Patpat’s Kansi,5,21198.8304093567
Country Style,5,21198.8304093567
Velvet Friends Cat Cafe Company,4,22938.2850901147
Deete Organic Cafe,4,21198.8304093567
La Taza,5,41977.6119402985
Mrs. Fields Cookie Café,5,41977.6119402985
Wildflour Cafe + Bakery,4.5,21198.8304093567
Starbucks,4.5,17543.8596491228
Infinitea,4,41977.6119402985
Cafe France,5,17543.8596491228
Sunnies Cafe,5,35262.2061482821
Toby’s Estate,4,21198.8304093567
La Veranda,4.5,22938.2850901147
Café Breton,4.5,21198.8304093567
Cafe In The Park,2,41977.6119402985
Hizon’s Cakes & Pastries,5,41977.6119402985
IL Ponticello Cafe Ristorante,4,21198.8304093567
Craft Coffee Workshop,4.5,17543.8596491228
UCC Park Café,4,21198.8304093567
Vina Trang Cuisine,4,21198.8304093567
Cafe Ysabel,3.5,15444.0154440154
Cafe France,4,21198.8304093567
Cafe France,5,15444.0154440154
Barbara’s,4,41977.6119402985
Starbucks,5,21198.8304093567
Fresh Infusions,5,21198.8304093567
Starbucks,5,21198.8304093567
Mang Cha-a Manila,3,41977.6119402985
Fiorgelato,4,41977.6119402985
Figaro Coffee,3,21198.8304093567
Café Via Mare,5,21198.8304093567
Starbucks Rserve,4,21198.8304093567
Café Breton,4.5,35262.2061482821
DiCofi Vietnamese Cafe,4,21198.8304093567
Current Swell Coffee Brewery,5,15444.0154440154
Qups Quarters Cafe,4,17543.8596491228
Starbucks Coffee,4.5,21198.8304093567
Bo’s Coffee,3.5,35262.2061482821
Cafe Poblacion,4,28195.4887218045
Milk Trade,4,21198.8304093567
Eight Coffee Bar by UCC,2.5,21198.8304093567
The Coffee Bean & Tea Leaf,4,21198.8304093567
Little Owl Cafe,3,17543.8596491228
Paper Moon Cafe,4,21198.8304093567
Cafe Shibuya,3.5,21198.8304093567
Single Origin,4,21198.8304093567
Blenz Coffee,4,21198.8304093567
Hobing Snow Dessert Cafe,4.5,43691.9716002185
Starbucks,5,21198.8304093567
Cafe France,4,21198.8304093567
Mr Park’s Bread & Cake,5,17543.8596491228
Bo’s Coffee,4,17543.8596491228
Bleu,4,21198.8304093567
Starbucks,4,21198.8304093567
Café France,3,21198.8304093567
Nueve Café,3,21198.8304093567
Whisk Asian Bistro Cafe,4,21198.8304093567
Cafe Via Mare,3.5,21198.8304093567
Starbucks Coffee,5,17543.8596491228
Kuppa Roastery & Cafe,4.5,43691.9716002185
Artsy Cafe,4,17543.8596491228
Blenz Coffee,4,21198.8304093567
D’Cream Coffee and Tea,5,41977.6119402985
Toast Box,3.5,43691.9716002185
Mary Grace Cafe,4.5,22938.2850901147
The Curator,4,21198.8304093567
UCC Café Terrace,5,21198.8304093567
Caffe Bene,5,21198.8304093567
Ice Master: The Snow Ice House,4,41977.6119402985
St Marc Cafe,4.5,21198.8304093567
Serenitea,4,21198.8304093567
UCC 3rd Wave Clockwork,4.5,22938.2850901147
Yamato Bakery Cafe,4,22938.2850901147
Café 1771,5,35262.2061482821
J.Co Donuts & Coffee,5,21198.8304093567
Toby’s Estate,4,21198.8304093567
Starbucks Coffee,5,17543.8596491228
Moonleaf Tea Shop,3.5,21198.8304093567
Oarhouse Pub of Manila,4.5,41977.6119402985
Urban Cafe,3,41977.6119402985
Seattle’s Best Coffee,4,21198.8304093567
CO/OP,3,15444.0154440154
Dome Café,4,35262.2061482821
Ball Pit,4,21198.8304093567
The Coffee Bean and Tea Leaf,4,43691.9716002185
Exile on Main Street,4,41977.6119402985
Kooky & Luscious,4,21198.8304093567
Drip Cafe,3,17543.8596491228
Starbucks Coffee,4.5,22938.2850901147
Neighborhood Game Cafe,4.5,17543.8596491228
Cafe Seol Hwa,4.5,21198.8304093567
Starbucks Coffee,4,21198.8304093567
Cafe I’m Here,4,17543.8596491228
Figaro Coffee,5,17543.8596491228
TWG Tea Salon & Boutique,4.5,35262.2061482821
Coffee Bean and Tea Leaf,4.5,21198.8304093567
Coffee Bean & Tea Leaf,4,21198.8304093567
UCC Park Café,4,21198.8304093567
The Coffee Bean & Tea Leaf,4,21198.8304093567
Tous les Jours,4,21198.8304093567
Press Cafe,3.5,21198.8304093567
UCC Vienna Cafe,4,22938.2850901147
The Coffee Bean & Tea Leaf,4,43691.9716002185
Cafe Litrato,4,17543.8596491228
Gloria Jean’s Coffee,3,17543.8596491228
Gong Cha,5,17543.8596491228
Sugarleaf,5,21198.8304093567
Aruga Cafe,4.5,21198.8304093567
Craft Coffee Revolution,5,15444.0154440154
Artsy Cafe,3.5,17543.8596491228
Caffe Da Illy,3.5,17543.8596491228
Bar Mathilde,4,21198.8304093567
Cafe Via Mare,5,17543.8596491228
Book And Borders Cafe,4,17543.8596491228
Tea Fairy Cafe,3,35262.2061482821
Sandwich Shop by Plato Wraps,4,21198.8304093567
Moonleaf Tea,5,21198.8304093567
Dunkin Donuts Factory,4,35262.2061482821
Antiteasis: Books and Brews,4,17543.8596491228
Gong Cha,4,21198.8304093567
Wildflour Café + Bakery,4,43691.9716002185
Starbucks Reserve,4.5,22938.2850901147
Cafe Xocolat,3.5,15444.0154440154
UCC Vienna Café,4,17543.8596491228
Mom & Tina’s Bakery,4,21198.8304093567
Sarsa,4,21198.8304093567
Starbucks Coffee,3.5,21198.8304093567
Pablo,2.5,41977.6119402985
Mateo’s Restaurant Cafe,4,17543.8596491228
The Brewology Cafe,3,17543.8596491228
J.CO Donuts & Coffee,4.5,22938.2850901147
Tokyo Café,3.5,22938.2850901147
Chatime,4,21198.8304093567
Kaffe Caffe,4,17543.8596491228
Mr. Park’s Bread and Cake,4.5,24157.6605212969
Akiba Cafe,4,35262.2061482821
UCC Vienna Café,3.5,21198.8304093567
Harbor Square,4,41977.6119402985
Cafe Via Mare,4.5,43691.9716002185
Infinitea,3,21198.8304093567
Vice Ink Tattoo Company,5,21198.8304093567
Starbucks Reserve,5,43691.9716002185
Fundamental Coffee,4,21198.8304093567
Toast Box,4,17543.8596491228
Geni’s Cafe,5,14170.89678511
Ace Water Spa,4,17543.8596491228
Starbucks Coffee,3.5,21198.8304093567
Toby’s Estate,4,21198.8304093567
Filmfest Restaurant and Cafe,3,35262.2061482821
Charlie Does Manila,4,21198.8304093567
Figaro Coffee,3,21198.8304093567
Banapple,4.5,43691.9716002185
The Coffee Bean & Tea Leaf,3,21198.8304093567
Bo’s Coffee,3,15444.0154440154
Plaza Cafe,4,21198.8304093567
TenRen’s TEA,5,15444.0154440154
Cafe France,4,21198.8304093567
UCC Vienna Café,3,17543.8596491228
Figaro Coffee,4,35262.2061482821
Rocci Chocolate Kitchen,4.5,21198.8304093567
Cello’s Doughnuts & Dips,4.5,17543.8596491228
The Coffee Bean & Tea Leaf,5,15444.0154440154
Super Duck Modern Tea Shop,5,17543.8596491228
Patisserie,4,14170.89678511
Starbucks Coffee,3,21198.8304093567
Wheatberry Bakery & Cafe,4,17543.8596491228
Sweet Ideas,4,21198.8304093567
Cafe Publico,4,15444.0154440154
Gloria Jean’s Coffees,4,41977.6119402985
Breakr One,3.5,15444.0154440154
Dunkin’ Donuts,4,17543.8596491228
The Coffee Bean & Tea Leaf,3,21198.8304093567
Savor Park Cafe,3,21198.8304093567
Starbucks Coffee,5,43691.9716002185
Cafe Havana,3.5,21198.8304093567
Where’s Marcel?,5,24157.6605212969
Patisserie Bebe Rouge,4.5,21198.8304093567
Dulcinea,4,22938.2850901147
Bo’s Coffee Club,4.5,21198.8304093567
Bo’s Coffee,4,22938.2850901147
Highlands Coffee,3,17543.8596491228
Cafe Breton,4.5,35262.2061482821
26th St. Bistro by The Coffee Bean & Tea Leaf,4,35262.2061482821
Caffe Dolce,3,17543.8596491228
The Coffee Bean & Tea Leaf,4,17543.8596491228
Starbucks,4,21198.8304093567
Milky & Sunny,3,21198.8304093567
