City,Population,Area,Density,Per Capita Income
Manila,1800000,42.88,41977.6119402985,4923
Makati,580000,27.36,21198.8304093567,16535
Mandaluyong,390000,11.06,35262.2061482821,6944
SanJuan,120000,7.77,15444.0154440154,7367
Pasig,760000,31.46,24157.6605212969,8816
Pasay,420000,18.31,22938.2850901147,3818
Quezon,2900000,165.3,17543.8596491228,3561
Taguig,800000,18.31,43691.9716002185,3667
Paranaque,670000,47.28,14170.89678511,7197
Caloocan,1500000,53.2,28195.4887218045,2493
,,,,
,,,,"Philipines Avg-3,951"
